family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
brainstorming	11	denolfe/dotfiles	pi/skills/brainstorming/SKILL.md	main	https://github.com/denolfe/dotfiles/blob/main/pi/skills/brainstorming/SKILL.md	workflow-specialization	0.745	1	1	-0.3198174361688054	6	5	0	1	0	3			1.1	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | Do NOT invoke any implementation skill, write any code, scaffold any project, or take any implementation action until yo	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add rationalization catalogue and post-violation recovery			YES	
brainstorming	12	doviettung96/apk-tool	.codex/skills/brainstorming/SKILL.md	main	https://github.com/doviettung96/apk-tool/blob/main/.codex/skills/brainstorming/SKILL.md	routing-specialization	0.803	1	2	-0.29077920359835957	3	4	0	1	0	2	do not use; owns		0.778	++ | Help turn ideas into an approved Beads-ready design through natural collaborative dialogue. | In this template, `brainstorming` is the primary discuss stage. Use it to lock intent, separate decisions from assumptio	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add planner-handoff output boundary			YES	
brainstorming	13	mrkhachaturov/rkstack	skills/brainstorming/SKILL.md	main	https://github.com/mrkhachaturov/rkstack/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.703	1	1	0.29951051726418837	24	5	6	0	0	0			1.036	++ | <!-- AUTO-GENERATED from SKILL.md.tmpl — do not edit directly --> | <!-- Regenerate: just build -->	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add session-detection preamble and completion status			MAYBE	
brainstorming	14	hainamchung/agent-assistant	skills/brainstorming/SKILL.md	main	https://github.com/hainamchung/agent-assistant/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.76	1	1	-0.5595316840851965	4	5	0	0	0	4			1.0	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | Do NOT invoke any implementation skill, write any code, scaffold any project, or take any implementation action until yo	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	NO				NO	
brainstorming	15	kyaulabs/prism	packages/prism-core/skills/brainstorming/SKILL.md	main	https://github.com/kyaulabs/prism/blob/main/packages/prism-core/skills/brainstorming/SKILL.md	workflow-specialization	0.646	1	1	-0.10034396084138114	7	6	2	0	0	4	owns		1.3	++ | Turn ideas into fully formed designs through natural collaborative dialogue. | Start by understanding the current project context, then ask questions one at a	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add greenfield bootstrap path and domain-language register			YES	
brainstorming	16	djwmobley/pipeline	skills/brainstorming/SKILL.md	main	https://github.com/djwmobley/pipeline/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.638	1	1	-0.08380738192882656	4	6	0	3	0	4			1.111	++ | Start by understanding the current project context, then ask questions one at a time to refine | the idea. Once you understand what you're building, present the design and get user approval.	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add TBDs log and reporting model			PARTIAL	
brainstorming	17	ericgandrade/claude-superskills	skills/brainstorming/SKILL.md	main	https://github.com/ericgandrade/claude-superskills/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.736	1	1	-0.6175420029104379	10	5	0	0	0	1			1.071	++ | ## Purpose | ## When to Use	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add progress-tracking and when-to-use contract			YES	
brainstorming	18	Fattastic/khawi-s-companion-2a2808cd	.agent/skills/brainstorming/SKILL.md	main	https://github.com/Fattastic/khawi-s-companion-2a2808cd/blob/main/.agent/skills/brainstorming/SKILL.md	workflow-specialization	0.748	1	1	-0.714843233231909	10	7	0	0	0	3			1.417	++ | ## When to use this skill | Help turn ideas into fully formed designs and specs through natural	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Reorder to when-to-use/how-to-use structure			PARTIAL	
brainstorming	19	semaes111/PROYECTO-SKILLS	09-SKILLS-UTILIDADES/brainstorming-diseno-colaborativo-SKILL.md	main	https://github.com/semaes111/PROYECTO-SKILLS/blob/main/09-SKILLS-UTILIDADES/brainstorming-diseno-colaborativo-SKILL.md	workflow-specialization	0.744	1	1	-0.8717422939542268	1	7	0	3	0	3			0.889	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | Do NOT invoke any implementation skill, write any code, scaffold any project, or take any implementation action until yo	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	NO				PARTIAL	
brainstorming	20	coctostan/pi-superpowers-plus	skills/brainstorming/SKILL.md	main	https://github.com/coctostan/pi-superpowers-plus/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.734	1	1	-0.7855536446619923	4	7	0	0	0	5	related skills		1.222	++ | > **Related skills:** Consider `/skill:using-git-worktrees` to set up an isolated workspace, then `/skill:writing-plans` | ## Overview	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add related-skill routing (worktrees/plans)			YES	
brainstorming	21	Benkapner/claude-code-basecamp	skills/brainstorming/SKILL.md	main	https://github.com/Benkapner/claude-code-basecamp/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.735	1	3	-0.876967852890594	4	8	0	3	0	4			1.333	++ | Help turn ideas into fully formed designs through collaborative dialogue. | When this skill activates, present a design before writing code. The design can be short (a few sentences for simple pro	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add existing-codebase-specific working rules			YES	
brainstorming	22	majiayu000/claude-skill-registry	skills/creative/brainstormiong/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/creative/brainstormiong/SKILL.md	workflow-specialization	0.701	1	1	-0.7519513163116814	3	7	0	0	0	4	owns		1.111	++ | ## Overview | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	NO				NO	
brainstorming	23	lidge-jun/cli-jaw-skills	brainstorming/SKILL.md	main	https://github.com/lidge-jun/cli-jaw-skills/blob/main/brainstorming/SKILL.md	workflow-specialization	0.727	1	1	-0.9189707633284826	4	7	0	3	0	4			1.222	++ | ## Goal | Clarify requirements and produce a design before jumping to code. Reduces wasted work from unexamined assumptions.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add goal/design-review/after-approval structure			PARTIAL	
brainstorming	24	brunob54/superpowers-orchestrator	skills/brainstorming/SKILL.md	main	https://github.com/brunob54/superpowers-orchestrator/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.549	1	1	0.20485513956872603	11	7	2	0	0	2			1.385	++ | # Brainstorming | Turn rough requests into an approved design before implementation.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add multi-phase gates (hard gate/research gate/spec self-review)			YES	
brainstorming	25	mengsi16/plan-for-all	skills/brainstorming/SKILL.md	main	https://github.com/mengsi16/plan-for-all/blob/main/skills/brainstorming/SKILL.md	routing-specialization	0.57	1	1	-0.2844291572959386	15	5	0	1	0	0	owns; route to		1.053	++ | Help turn ideas into an approved product/design specification through natural collaborative dialogue. | This skill is the customer-facing convergence layer. It plays the role that a strong product manager or solution designe	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add ownership and required-output contract			YES	
brainstorming	26	itseffi/agentic-os	.agents/skills/brainstorming/SKILL.md	main	https://github.com/itseffi/agentic-os/blob/main/.agents/skills/brainstorming/SKILL.md	workflow-specialization	0.694	1	1	-0.8647969308109539	5	7	0	1	0	5	do not use		1.333	++ | Use this before any creative work - creating features, building components, adding functionality, or modifying behavior. | ## Overview	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add when-to-use/when-not-to-use boundary			PARTIAL	
brainstorming	27	JsonLee12138/prompts	skills/brainstorming/SKILL.md	main	https://github.com/JsonLee12138/prompts/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.669	1	1	-0.731842836354015	7	6	0	2	0	4			1.3	++ | ## Overview | Turn ideas into clear, approved brainstorming documents through collaborative dialogue.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add save-location rule and questioning rules			PARTIAL	
brainstorming	28	himmelreich-it/agent-skill-converter	out/junie/skills/superpowers/skills/brainstorming/SKILL.md	main	https://github.com/himmelreich-it/agent-skill-converter/blob/main/out/junie/skills/superpowers/skills/brainstorming/SKILL.md	workflow-specialization	0.675	1	1	-0.8478634740044979	9	7	1	2	0	5			1.455	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | ### Phase 1: Context Exploration	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add 5-phase structure with design-documentation phase			PARTIAL	
brainstorming	29	ahippelainen/claude-loadout	claude/skills/brainstorming/SKILL.md	main	https://github.com/ahippelainen/claude-loadout/blob/main/claude/skills/brainstorming/SKILL.md	workflow-specialization	0.67	1	1	-0.8983331128456145	3	8	0	3	0	5			1.222	++ | Turn ideas into a clear design through focused dialogue before any implementation. | Do NOT write any code or take any implementation action until you have presented a design and the user has approved it.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add explicit hard-gate implementation lock			YES	
brainstorming	30	jh941213/my-cc-harness	skills_en/brainstorming/SKILL.md	main	https://github.com/jh941213/my-cc-harness/blob/main/skills_en/brainstorming/SKILL.md	workflow-specialization	0.669	1	1	-0.8729990739515809	3	9	0	3	0	5			1.333	++ | # Brainstorming (design before code) | Turn ideas into a settled design through natural dialogue, and only then implement.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add explicit hard-gate implementation lock			YES	
brainstorming	31	AntonyKervazoCanut/gba_translator	.ollama/skills/brainstorming/SKILL.md	unbound	https://github.com/AntonyKervazoCanut/gba_translator/blob/unbound/.ollama/skills/brainstorming/SKILL.md	workflow-specialization	0.616	1	1	-0.7856197909776426	4	7	0	2	0	5			1.222	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | Do NOT write any code, create any script, or modify any file until you have presented a design and the user has approved	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add project-conventions application rules			MAYBE	
brainstorming	32	Vpr99/agent-setup	skills/brainstorming/SKILL.md	main	https://github.com/Vpr99/agent-setup/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.6	1	1	-0.7604841910305596	10	7	0	1	0	5			1.417	++ | ## Overview | Help turn ideas into fully formed designs and specs through natural	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add problem/solution/user-stories spec structure			YES	
brainstorming	33	golfballnut/mcmforge	companies/mcm-forge/skills/brainstorming/SKILL.md	main	https://github.com/golfballnut/mcmforge/blob/main/companies/mcm-forge/skills/brainstorming/SKILL.md	workflow-specialization	0.665	1	1	-0.992128588437624	0	9	0	3	0	4			1.0	++ | Explores user intent, requirements and design before implementation. Referenced from Anthropic's superpowers skill set.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	NO				NO	
brainstorming	34	Allura-Ecosystem/Allura_Memory	.opencode/skills/brainstorming/SKILL.md	main	https://github.com/Allura-Ecosystem/Allura_Memory/blob/main/.opencode/skills/brainstorming/SKILL.md	workflow-specialization	0.609	1	1	-0.7804603783569255	12	8	0	3	0	3			1.538	++ | Turn ideas into fully formed designs through collaborative dialogue. Produce specs that trace to the Blueprint's B#/F# r | Do NOT invoke any implementation skill, write any code, scaffold any project, or take any implementation action until yo	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add requirement-traceability hard rule (B#/F#)			YES	
brainstorming	35	apenlor/opencode-expert-mode	skills/brainstorming/SKILL.md	main	https://github.com/apenlor/opencode-expert-mode/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.606	1	1	-0.849980156105305	6	7	0	1	0	5			1.444	++ | ## Overview | Turn ideas into fully formed designs through collaborative dialogue. Understand the project context, ask clarifying ques	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add stop conditions and fallback path			YES	
brainstorming	36	letitbk/claude-academic-setup	skills/brainstorming/SKILL.md	main	https://github.com/letitbk/claude-academic-setup/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.591	1	2	-0.7198042069056754	12	7	0	0	0	5			1.357	++ | ## Overview | Help turn ideas into fully formed designs and specs through structured, interactive questioning using the **AskUserQuest	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add interactive-tool (AskUserQuestion) usage protocol			YES	
brainstorming	37	casius-connect/vibe-briefing-skills	skills/brainstorming/SKILL.md	main	https://github.com/casius-connect/vibe-briefing-skills/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.616	1	1	-0.9358380738192883	4	9	0	2	0	5			1.444	++ | # Brainstorming: ideas into designs | ## Process	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add one-question-at-a-time dialogue rules			PARTIAL	
brainstorming	38	truongnat/rnui	.agents/skills/brainstorming/SKILL.md	develop	https://github.com/truongnat/rnui/blob/develop/.agents/skills/brainstorming/SKILL.md	routing-specialization	0.415	1	1	0.0987564492657759	58	9	0	3	0	2	owns		1.155	++ | # Brainstorming | ## Mục Đích	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add lite-output tier with bilingual adaptation			MAYBE	
brainstorming	39	xiaocai-admin-2001/SkillForest-opencode	skills/sp-brainstorming/SKILL.md	main	https://github.com/xiaocai-admin-2001/SkillForest-opencode/blob/main/skills/sp-brainstorming/SKILL.md	workflow-specialization	0.582	1	1	-0.8319222119327954	10	7	0	3	0	4			1.417	++ | Turn rough requests into approved design decisions and a concrete spec. | ## Core Rule	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add scale guard for process depth			YES	
brainstorming	40	xenitV1/claude-code-maestro	skills/brainstorming/SKILL.md	main	https://github.com/xenitV1/claude-code-maestro/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.492	1	1	-0.4898796137055166	30	9	1	0	0	5	related skills		1.3	++ | <domain_overview> | # 💡 BRAINSTORMING: DESIGN BEFORE CODE	-- | # Brainstorming Ideas Into Designs | Start by classifying how much process the request needs, then work	NO				PARTIAL	
brainstorming	41	majiayu000/claude-skill-registry-data	planning/brainstorming-datorresb-vibecoding-starter/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/planning/brainstorming-datorresb-vibecoding-starter/SKILL.md	compact-rewrite	0.497	1	1	-0.5441195925386956	12	7	0	3	0	5			1.357	++ | ## Overview | Turn rough ideas into a validated design/spec through short, collaborative dialogue.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add tool-parameter contract for ask_questions			PARTIAL	
brainstorming	42	sthiermann/stn-skills	skills/brainstorming/SKILL.md	main	https://github.com/sthiermann/stn-skills/blob/main/skills/brainstorming/SKILL.md	routing-specialization	0.46	1	1	0.6851435375049609	25	9	1	1	1	0	owns		1.36	++ | # Brainstorming | ## Overview	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add mandatory skill-chain and session-resumption protocol			YES	
brainstorming	43	tenecsson/playbooks	skills/brainstorming/SKILL.md	main	https://github.com/tenecsson/playbooks/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.57	1	1	-0.9165894959650748	0	9	0	3	0	5	do not use		1.0	++ | Turn an open request into an approved design before coding. | Use this when:	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add use-when/do-not-use boundary			PARTIAL	
brainstorming	44	bharat3645/The-Ideal-Harness	skills/brainstorming/SKILL.md	main	https://github.com/bharat3645/The-Ideal-Harness/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.564	1	1	-0.9264452969969573	4	9	0	3	0	5			1.444	++ | # Brainstorming | Do NOT write code, scaffold a project, or edit files during this skill. The only output is an agreed design. Implementat	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add explicit hard-gate implementation lock	Add single-output handoff (agreed design only)		YES	
brainstorming	45	redpanda-data/ui-harness	brainstorming/SKILL.md	main	https://github.com/redpanda-data/ui-harness/blob/main/brainstorming/SKILL.md	workflow-specialization	0.564	1	1	-0.9444370948538167	4	9	0	3	0	5			1.444	++ | # Brainstorming | **GATE: no code, no files, no impl until design presented and approved.**	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add design/challenge mode split			YES	
brainstorming	46	cheetahbyte/dotfiles	agents/.agents/skills/brainstorming/SKILL.md	main	https://github.com/cheetahbyte/dotfiles/blob/main/agents/.agents/skills/brainstorming/SKILL.md	compact-rewrite	0.498	1	1	-0.6436036512766239	3	8	0	3	0	5	owns		1.222	++ | Turn feature ideas into implementable technical designs without duplicating requirements elicitation. | **Brainstorming owns:** exploring the existing system, separating facts from decisions, delegating user-owned decisions 	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add ownership/delegation boundary			YES	
brainstorming	47	B4san/AC-framework	framework/make_your_own/.amazonq/skills/brainstorming/SKILL.md	main	https://github.com/B4san/AC-framework/blob/main/framework/make_your_own/.amazonq/skills/brainstorming/SKILL.md	workflow-specialization	0.461	1	2	-0.4793623495171319	27	9	0	2	0	5	owns		1.333	++ | # Brainstorming - Comprehensive Question Generation | Surface unknowns, challenge assumptions, and explore the problem space BEFORE committing to a solution.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add comprehensive question-generation analysis			PARTIAL	
brainstorming	48	JetBrains/thinkrail	packages/pi-thinkrail-workflow/skills/brainstorming/SKILL.md	main	https://github.com/JetBrains/thinkrail/blob/main/packages/pi-thinkrail-workflow/skills/brainstorming/SKILL.md	compact-rewrite	0.502	1	1	-0.6529964280989549	5	9	0	0	0	3			1.556	++ | # Brainstorming | ## Brainstorm before you build	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add anti-pattern catalogue and task-spec output			MAYBE	
brainstorming	49	myths-labs/muse	skills/toolkit/brainstorming/SKILL.md	main	https://github.com/myths-labs/muse/blob/main/skills/toolkit/brainstorming/SKILL.md	compact-rewrite	0.531	1	1	-0.7837676941394365	16	8	0	1	0	5	owns		1.412	++ | # Brainstorming — Reframe Before You Build | *Inspired by gstack's /office-hours. Upgraded to output standardized design docs.*	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add reframe-before-you-build phase			YES	
brainstorming	50	hnb-rabear/hnb-rabear.github.io	.agents/skills/brainstorming/SKILL.md	main	https://github.com/hnb-rabear/hnb-rabear.github.io/blob/main/.agents/skills/brainstorming/SKILL.md	compact-rewrite	0.523	1	1	-0.8204788993253076	9	6	0	3	0	4			1.25	++ | > Adapted from [superpowers:brainstorming](https://github.com/obra/superpowers) | ## The Iron Rule	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add explicit hard-gate implementation lock			YES	
brainstorming	51	modimihir07/agentic-os	skills/brainstorming/SKILL.md	main	https://github.com/modimihir07/agentic-os/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.549	1	1	-0.9503241169466861	6	9	0	3	0	5			1.667	++ | # Brainstorming | ## Description	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add agent-assignment output contract			PARTIAL	
brainstorming	52	manyrocks/venture	templates/.claude/skills/brainstorming/SKILL.md	main	https://github.com/manyrocks/venture/blob/main/templates/.claude/skills/brainstorming/SKILL.md	workflow-specialization	0.538	1	1	-0.901838867575076	3	9	0	2	0	5			1.333	++ | # Brainstorming | Help the user turn an idea into a clear design spec through collaborative dialogue. Stay strategic. Do not write product	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add project-document-first rules (DESIGN/PRD/GOAL)			YES	
brainstorming	53	aiskillstore/marketplace	skills/dyai2025/brainstorming/SKILL.md	main	https://github.com/aiskillstore/marketplace/blob/main/skills/dyai2025/brainstorming/SKILL.md	compact-rewrite	0.464	1	2	-0.5775234819420558	12	7	0	0	0	1			1.357	++ | ## Overview | Transform rough ideas into fully-formed designs through structured questioning and alternative exploration.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	NO				PARTIAL	
brainstorming	54	drbothen/vsdd-factory	plugins/vsdd-factory/skills/brainstorming/SKILL.md	develop	https://github.com/drbothen/vsdd-factory/blob/develop/plugins/vsdd-factory/skills/brainstorming/SKILL.md	compact-rewrite	0.458	1	1	-0.5540415398862283	18	9	1	2	0	4			1.5	++ | ## Hard Gate | Do NOT skip to brief creation, spec writing, or any implementation activity. The brainstorming report MUST be written an	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add mandatory brainstorming-report and red-flag stop			YES	
brainstorming	55	mraakashshah/oro	.claude/skills/brainstorming/SKILL.md	main	https://github.com/mraakashshah/oro/blob/main/.claude/skills/brainstorming/SKILL.md	compact-rewrite	0.517	1	1	-0.8147241698637386	7	7	0	3	0	5	owns		1.556	++ | Develop an evidence-based design through focused dialogue. Match the depth of the process to the decision's scope and re | ## Workflow	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add proportional-depth scaling with premortem check			YES	
