group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	placeholder_signal	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
12	HiAi-gg/hiai-opencode	skills/general/SKILL.md	main	https://github.com/HiAi-gg/hiai-opencode/blob/main/skills/general/SKILL.md	expanded-guidance	0.898	1	1	1.1099042907839554	28	0	2	0	0	0	related skills		0.651	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | - Use the `test-driven-development` skill for writing proper failing tests	-- | - Use the `superpowers:test-driven-development` skill for writing proper failing tests | - Use the `superpowers:verification-before-completion` skill before claiming success	YES	Swap superpowers:-style skill references to unqualified local references			PARTIAL	
13	riddopic/cc-tools	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/riddopic/cc-tools/blob/main/.claude/skills/systematic-debugging/SKILL.md	no-label	0.948	1	1	-0.29164426282395955	0	2	0	1	0	0	related skills		0.133	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | Use for ANY technical issue: test failures, bugs, unexpected behavior, performance problems, build failures, integration issues.	-- | ## Overview | **Violating the letter of this process is violating the spirit of debugging.**	NO				NO	
14	MikeCheng1208/BattleTree	.agents/skills/systematic-debugging/SKILL.md	main	https://github.com/MikeCheng1208/BattleTree/blob/main/.agents/skills/systematic-debugging/SKILL.md	routing-specialization	0.704	1	1	-0.015270459189160125	21	3	2	0	1	0	related skills		0.727	0.0	++ | Random fixes waste time and mask underlying issues. **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are fa | `NO FIXES WITHOUT ROOT CAUSE INVESTIGATION FIRST`	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add trigger-context to iron-law phrasing			MAYBE	
15	LiGoldragon/Mentci-AI	.pi/skills/systematic-debugging/SKILL.md	main	https://github.com/LiGoldragon/Mentci-AI/blob/main/.pi/skills/systematic-debugging/SKILL.md	workflow-specialization	0.854	1	1	0.03667060974298312	3	3	1	0	0	0	related skills		0.4	0.0	++ | > **Related skills:** Write a failing test for the bug with `/skill:test-driven-development`. Verify the fix with `/skill:verification-befor | ## Repo-Local Nix Purity Rule	-- | Use for ANY technical issue: | - Test failures	YES	Add repo-local nix purity rule and route to related skills			YES	
16	markmals/workbench	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/markmals/workbench/blob/main/.claude/skills/systematic-debugging/SKILL.md	routing-specialization	0.751	1	1	-0.1030218303043338	6	6	0	1	1	0	heading: Related skills; related skills		0.8	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. Always find the root cause **before** attempting a fix. | **Lifted from superpowers' systematic-debugging skill.** Slimmed; the four-phase structure is unchanged.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	PARTIAL	Explicitly cite lineage as Lifted-from-superpowers and slim			YES	
17	bg-szy/TOP-SKILLS	skills/agent-skills/systematic-debugging/SKILL.md	master	https://github.com/bg-szy/TOP-SKILLS/blob/master/skills/agent-skills/systematic-debugging/SKILL.md	routing-specialization	0.822	1	1	0.28089041832455103	7	1	0	0	6	0	heading: Related Skills; related skills		0.381	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | See skills/root-cause-tracing for backward tracing technique	-- | See `root-cause-tracing.md` in this directory for the complete backward tracing technique. | - Use the `superpowers:test-driven-development` skill for writing proper failing tests	YES	Add dedicated Related Skills heading with 6 cross-skill refs			YES	
18	5DLabsInc/cto	tests/cli-invocation/config/skills-rex/systematic-debugging/SKILL.md	main	https://github.com/5DLabsInc/cto/blob/main/tests/cli-invocation/config/skills-rex/systematic-debugging/SKILL.md	no-label	0.808	1	1	-0.4252070115066136	2	3	0	1	1	0			0.333	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | - Log what data enters component	-- | **Violating the letter of this process is violating the spirit of debugging.** | - You don't fully understand the issue	NO				NO	
19	aiskillstore/marketplace	skills/codingcossack/systematic-debugging/SKILL.md	main	https://github.com/aiskillstore/marketplace/blob/main/skills/codingcossack/systematic-debugging/SKILL.md	workflow-specialization	0.762	1	2	-0.5355414560705453	3	9	0	1	0	0	related skills		0.8	0.0	++ | **Core principle:** Find root cause before attempting fixes. Symptom fixes are failure. | ## Phase 1: Root Cause Investigation	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add escalation rule after 3+ failed fixes	Add red flags returning to Phase 1		YES	
20	7757/Fan-Browser-Agent	skills/software-development/systematic-debugging/SKILL.md	main	https://github.com/7757/Fan-Browser-Agent/blob/main/skills/software-development/systematic-debugging/SKILL.md	workflow-specialization	0.672	1	1	0.2805678029895688	36	4	3	0	1	0			0.851	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | ```	-- | ``` | ```	YES	Add The Feedback Loop Rule heading			YES	
21	David-Li0406/meta-skill-evloving	skill-flow/data/skills-refined-36k/skillsmp/systematic-debugging-15/SKILL.md	main	https://github.com/David-Li0406/meta-skill-evloving/blob/main/skill-flow/data/skills-refined-36k/skillsmp/systematic-debugging-15/SKILL.md	workflow-specialization	0.799	1	1	-0.7285729648349285	5	10	0	1	0	0			1.0	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | **Use ESPECIALLY when:**	-- | ## Overview | **Violating the letter of this process is violating the spirit of debugging.**	YES	Rename phases to Hypothesis Formation / Minimal Fix / Verification			MAYBE	
22	MezbahSaif/HermesBench	Case1_Qwen/datasets/variants/tasks/skills/software-development/systematic-debugging/SKILL.md	main	https://github.com/MezbahSaif/HermesBench/blob/main/Case1_Qwen/datasets/variants/tasks/skills/software-development/systematic-debugging/SKILL.md	expanded-guidance	0.675	1	1	0.4633831594795139	37	4	4	0	1	0			0.854	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | ## The Feedback Loop Rule	-- | - Manager wants it fixed NOW (systematic is faster than thrashing) | ### Phase 1: Root Cause Investigation	YES	Add Feedback Loop Rule and example-driven guidance (expanded)			YES	
23	magnus919/agent-skills	systematic-debugging/SKILL.md	main	https://github.com/magnus919/agent-skills/blob/main/systematic-debugging/SKILL.md	expanded-guidance	0.701	1	1	0.76309280567803	41	4	3	0	0	0			0.865	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | **ESPECIALLY when:**	-- | **Violating the letter of this process is violating the spirit of debugging.** | **Use this ESPECIALLY when:**	YES	Add expanded ESPECIALLY-when guidance + python tooling			PARTIAL	
24	Frostthejack/hermes-tailscale-rw	profiles/orchestrator/skills/software-development/systematic-debugging/SKILL.md	main	https://github.com/Frostthejack/hermes-tailscale-rw/blob/main/profiles/orchestrator/skills/software-development/systematic-debugging/SKILL.md	routing-specialization	0.677	1	1	0.5567265297343801	44	4	4	0	1	0	route to		0.873	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | - Someone wants it fixed NOW (systematic is faster than thrashing)	-- | - Manager wants it fixed NOW (systematic is faster than thrashing) | ### Phase 1: Root Cause Investigation	YES	Add explicit per-command debugging guidance (npx/pipx)			PARTIAL	
25	RBraga01/a-team	skills/systematic-debugging/SKILL.md	main	https://github.com/RBraga01/a-team/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.766	1	2	-0.7466394235939349	5	10	0	1	0	0			1.0	0.0	++ | Quick patches mask underlying issues. Systematic debugging is FASTER than thrashing. | ## The Four Phases (Must Complete in Order)	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add mandatory-phase-order enforcement marker	Add 3+ fixes fail escalation handler		YES	
26	FradSer/dotclaude	superpowers/skills/systematic-debugging/SKILL.md	main	https://github.com/FradSer/dotclaude/blob/main/superpowers/skills/systematic-debugging/SKILL.md	routing-specialization	0.653	1	1	0.42370147327669644	11	7	1	1	1	0	related skills		0.947	0.0	"++ | ## Slash-command Usage | Invoked via `/superpowers:systematic-debugging ""<symptom>""` or auto-loaded by other skills when bug-fix language is detected."	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add slash-command usage wrapper	Add bail-out check before Phase 1		YES	
27	diegosouzapw/awesome-omni-skill	skills/development/systematic-debugging/SKILL.md	main	https://github.com/diegosouzapw/awesome-omni-skill/blob/main/skills/development/systematic-debugging/SKILL.md	no-label	0.721	1	1	-0.6394235939348317	0	4	0	1	1	0			0.267	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | **Goal:** Understand WHAT is happening and WHERE.	-- | **Violating the letter of this process is violating the spirit of debugging.** | - Manager wants it fixed NOW (systematic is faster than thrashing)	NO				NO	
28	apenlor/opencode-expert-mode	skills/systematic-debugging/SKILL.md	main	https://github.com/apenlor/opencode-expert-mode/blob/main/skills/systematic-debugging/SKILL.md	routing-specialization	0.739	1	1	-0.760619421443166	5	7	0	2	1	0	heading: Related Skills; related skills		0.8	0.0	++ | Random fixes waste time and mask underlying issues. **Core principle:** Find root cause before attempting any fix. Symptom fixes are failure | Use for ANY technical issue. **Especially** when under time pressure, when you've already tried multiple fixes, or when you don't fully unde	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add Related Skills heading with cross-skill route			PARTIAL	
29	bostonaholic/rpikit	skills/systematic-debugging/SKILL.md	main	https://github.com/bostonaholic/rpikit/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.622	1	1	-0.33960640929132163	18	8	0	1	0	0			1.04	0.0	++ | Find the root cause before attempting fixes. Symptom fixes are failure. | ## Purpose	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add explicit Purpose section with goals			PARTIAL	
30	tmdgusya/engineering-discipline	skills/systematic-debugging/SKILL.md	main	https://github.com/tmdgusya/engineering-discipline/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.578	1	1	-0.17173889665555436	17	13	0	2	0	0			1.579	0.0	++ | A strict debugging workflow. Use when dealing with bugs, test failures, or unexpected behavior. | Three core purposes:	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Replace four phases with observed workflow + Hard Gates + output contract			YES	
31	jh941213/my-cc-harness	skills_en/systematic-debugging/SKILL.md	main	https://github.com/jh941213/my-cc-harness/blob/main/skills_en/systematic-debugging/SKILL.md	workflow-specialization	0.7	1	1	-0.7486826540488225	4	11	0	2	0	0			1.0	0.0	++ | **Iron law: no fixes without root-cause investigation. Fixing symptoms is failure.** | The simpler the bug looks, the more urgent the situation, the more this process matters — systematic debugging is faster than guess-and-patc	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add The 3-failures rule plus red-flag return to Phase 1			YES	
32	tranhieutt/software_development_department	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/tranhieutt/software_development_department/blob/main/.claude/skills/systematic-debugging/SKILL.md	workflow-specialization	0.547	1	1	-0.1008710614044521	24	13	0	3	0	0	route to		1.423	0.0	++ | ## Purpose | `systematic-debugging` prevents guess-and-check fixes. It requires the agent to	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Restructure around capture symptom / build feedback loop / reproduce or bound			YES	
33	Bbeierle12/Skill-MCP-Claude	skills/systematic-debugging/SKILL.md	main	https://github.com/Bbeierle12/Skill-MCP-Claude/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.678	1	1	-0.6525432842241101	26	14	0	3	0	0			1.481	0.0	++ | ## Core Principle | **Don't guess. Investigate systematically.**	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add stop-after-3-failed-attempts rule	Add check-the-obvious-first and backward tracing technique		YES	
34	majiayu000/claude-skill-registry	skills/data/pop-systematic-debugging/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/data/pop-systematic-debugging/SKILL.md	workflow-specialization	0.618	1	1	-0.5196257662114205	6	8	0	2	1	0			0.933	0.0	++ | Random fixes waste time. Quick patches mask issues. | **Core principle:** ALWAYS find root cause before fixes. Symptom fixes are failure.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	PARTIAL	Trim overview to shorter trigger; shorten iron law			MAYBE	
35	PytaichukBohdan/AndriiPresentation	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/PytaichukBohdan/AndriiPresentation/blob/main/.claude/skills/systematic-debugging/SKILL.md	workflow-specialization	0.544	1	2	-0.16302828261103344	13	11	1	1	0	0			1.412	0.0	++ | Debug systematically. Understand before fixing. One change at a time. | **Core principle:** A bug fixed without understanding is a bug waiting to return.	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Compress to 4-step flow REPRODUCE/ISOLATE/UNDERSTAND/FIX with one-change-at-a-time rule			YES	
36	VidyaBodepudi/Code-Skills	skills/systematic-debugging/SKILL.md	main	https://github.com/VidyaBodepudi/Code-Skills/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.565	1	1	-0.3231530272072266	6	9	0	1	0	0			1.0	0.0	++ | Systematic debugging prevents the #1 agent anti-pattern: guessing at fixes. Instead of trying random changes and hoping something works, thi | - When a test fails and the cause isn't immediately obvious	-- | # Systematic Debugging | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Anchor as anti-pattern guard and add escalation rule			PARTIAL	
37	aiskillstore/marketplace	skills/dmjgilbert/systematic-debugging/SKILL.md	main	https://github.com/aiskillstore/marketplace/blob/main/skills/dmjgilbert/systematic-debugging/SKILL.md	workflow-specialization	0.658	1	2	-0.7392192708893429	4	9	0	2	0	0			0.867	0.0	++ | **ALWAYS find root cause before attempting fixes. Symptom fixes are failure.** | - Encountering bugs or test failures	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	PARTIAL				NO	
38	yimwoo/hotl-plugin	skills/systematic-debugging/SKILL.md	main	https://github.com/yimwoo/hotl-plugin/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.704	1	1	-0.9052586299602108	6	14	0	3	0	0			1.333	0.0	++ | ## Four Phases | ### Phase 1: Reproduce	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Require minimal reproducible case; never fix what you cannot reproduce			PARTIAL	
39	lec77/skillvm-data	skill-variants/targeted/opencode/qwen3.5-397b/bug-fixing/SKILL.md	main	https://github.com/lec77/skillvm-data/blob/main/skill-variants/targeted/opencode/qwen3.5-397b/bug-fixing/SKILL.md	workflow-specialization	0.652	1	1	-0.8250349499946231	6	14	1	2	0	0			1.333	0.0	++ | **NEVER guess at fixes. ALWAYS find the root cause first.** | ## Process (follow in order)	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Force ordered steps Read-error/Understand-code/Identify-root-cause/Fix-and-verify			PARTIAL	
40	sabahattink/antigravity-fullstack-hq	skills/systematic-debugging/SKILL.md	main	https://github.com/sabahattink/antigravity-fullstack-hq/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.472	1	1	-0.0911926013549844	29	14	2	1	0	0	owns		1.433	0.0	++ | ## The Scientific Method Applied to Bugs | ```	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Frame as scientific method with OBSERVE/HYPOTHESIZE/PREDICT and environment-specific repro conditions			YES	
41	Threat-Vector-Security/guardian-agent	skills/systematic-debugging/SKILL.md	main	https://github.com/Threat-Vector-Security/guardian-agent/blob/main/skills/systematic-debugging/SKILL.md	routing-specialization	0.6	1	1	-0.6543714377890095	6	13	0	3	0	0	heading: Related Skills; related skills		1.267	0.0	++ | ## Overview / When to Use | Do not guess. Find the root cause before changing code, config, or prompts. No fixes without investigation first. If you have not reproduced	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add explicit Verification phase and Related Skills routing	Add supporting references plus red flags		YES	
42	c-kick/hnl-agent-skills	systematic-debugging/SKILL.md	master	https://github.com/c-kick/hnl-agent-skills/blob/master/systematic-debugging/SKILL.md	compact-rewrite	0.549	1	1	-0.5010216152274438	12	10	0	2	0	0			1.294	0.0	++ | ## Core Principle | **NO FIXES WITHOUT ROOT CAUSE INVESTIGATION FIRST.**	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	PARTIAL	Add Core Principle section with process-violation flags			MAYBE	
43	majiayu000/spellbook	skills/systematic-debugging/SKILL.md	main	https://github.com/majiayu000/spellbook/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.571	1	1	-0.5993117539520378	9	9	0	2	0	0			1.2	0.0	++ | > From [obra/superpowers](https://github.com/obra/superpowers) | ## Core Principle	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add The 3-Fix Rule; preserve core principle while compressing			YES	
44	arn0ld87/skills-public-archive	skills/agents/systematic-debugging/SKILL.md	main	https://github.com/arn0ld87/skills-public-archive/blob/main/skills/agents/systematic-debugging/SKILL.md	workflow-specialization	0.537	1	1	-0.40800086030755994	13	15	0	1	0	0			1.867	0.0	++ | # Systematisches Debugging | ## Überblick	-- | # Systematic Debugging | ## Overview	YES	Translate and restructure to a distinct language variant			PARTIAL	
45	erclx/aitk	claude/skills/systematic-debugging/SKILL.md	main	https://github.com/erclx/aitk/blob/main/claude/skills/systematic-debugging/SKILL.md	workflow-specialization	0.582	1	1	-0.6923325088719217	8	14	0	1	0	0			1.467	0.0	++ | # Systematic debugging | Random fixes waste time and create new bugs. Before proposing any fix, complete the four phases below in order.	-- | # Systematic Debugging | ## Overview	YES	Add Three-fix circuit breaker + red flags as return-to-phase-1			YES	
46	CUBETIQ/cubis-foundry	workflows/workflows/agent-environment-setup/platforms/claude/skills/systematic-debugging/SKILL.md	main	https://github.com/CUBETIQ/cubis-foundry/blob/main/workflows/workflows/agent-environment-setup/platforms/claude/skills/systematic-debugging/SKILL.md	workflow-specialization	0.48	1	1	-0.29841918485858693	13	14	0	1	0	0			1.8	0.0	++ | # Systematic Debugging Methodology | ## Purpose	-- | # Systematic Debugging | ## Overview	YES	Rebuild as disciplined evidence framework with output format + debugging report			MAYBE	
47	communitiesuk/prsdb-webapp	.github/skills/systematic-debugging/SKILL.md	main	https://github.com/communitiesuk/prsdb-webapp/blob/main/.github/skills/systematic-debugging/SKILL.md	compact-rewrite	0.555	1	1	-0.6197440585009141	6	12	1	1	0	0			1.2	0.0	++ | **Core principle:** Find root cause before attempting fixes. Symptom fixes are | failure.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add Using-the-Debugger handler (Windows/PowerShell)			PARTIAL	
48	ArchieIndian/openclaw-superpowers	skills/core/systematic-debugging/SKILL.md	main	https://github.com/ArchieIndian/openclaw-superpowers/blob/main/skills/core/systematic-debugging/SKILL.md	workflow-specialization	0.609	1	1	-0.9246155500591462	4	14	0	3	0	0			1.2	0.0	++ | Never guess at fixes. Find the root cause first. | ## Phase 1: Understand the Error	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Reduce to 4 phases each with one focused action			PARTIAL	
49	AlexAI-MCP/hermes-CCC	skills/systematic-debugging/SKILL.md	master	https://github.com/AlexAI-MCP/hermes-CCC/blob/master/skills/systematic-debugging/SKILL.md	workflow-specialization	0.467	1	1	-0.3253037961071083	22	14	1	1	0	0			1.565	0.0	++ | ## Purpose | - Prevent guess-driven bug fixing.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add activation signals + stabilize-report/narrow-surface/instrument phases			PARTIAL	
50	Tcuzzo/HydraAgent_public	skills/systematic_debugging/SKILL.md	main	https://github.com/Tcuzzo/HydraAgent_public/blob/main/skills/systematic_debugging/SKILL.md	workflow-specialization	0.613	1	1	-0.9824712334659641	0	14	0	3	0	0			0.933	0.0	++ | Trace every joined mechanism end-to-end before proposing a fix. Verify against live code and runtime state. Fix root cause, never symptoms.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	NO				NO	
51	taracodlabs/aiden	skills/systematic-debugging/SKILL.md	main	https://github.com/taracodlabs/aiden/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.49	1	1	-0.518872997096462	12	13	3	2	0	0			1.667	0.0	++ | A structured four-phase process for diagnosing software bugs: **Reproduce → Isolate → Hypothesize → Verify**. Prevents guessing and ensures  | - User reports a bug or unexpected behavior without an obvious cause	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add git bisect workflow to isolate failure commit			PARTIAL	
52	erfanzar/Xerxes-Agents	xerxes/skills/systematic-debugging/SKILL.md	main	https://github.com/erfanzar/Xerxes-Agents/blob/main/xerxes/skills/systematic-debugging/SKILL.md	workflow-specialization	0.467	1	1	-0.4361759328960103	7	14	2	2	0	0			1.4	0.0	++ | Use this workflow for bugs, failed tests, build errors, performance regressions, | and unexpected production behavior. Scale the depth to the problem, but keep the	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add 5-step order with scale-depth-to-problem guidance			PARTIAL	
